Title,Artist,Year,Explicit,Styles,Languages,title_artist,synced
Tennessee Whiskey,Chris Stapleton,2015,0,"Blues,Rock,Country",English,tennessee whiskey - chris stapleton,1
Dance Monkey,Tones and I,2019,0,Pop,English,dance monkey - tones and i,1
Sweet Caroline,Neil Diamond,1969,0,Pop,English,sweet caroline - neil diamond,1
Someone You Loved,Lewis Capaldi,2018,0,Pop,English,someone you loved - lewis capaldi,1
Amazing Grace,Traditional,1831,0,"Traditionnal,Gospel,Blues",English,amazing grace - traditional,1
House of the Rising Sun,Traditional,1700,0,"Traditionnal,Blues,Rock",English,house of the rising sun - traditional,1
Creep,Radiohead,1992,1,"Rock,Alternative",English,creep - radiohead,1
"Take Me Home, Country Roads",John Denver,1971,0,Country,English,"take me home, country roads - john denver",1
Bohemian Rhapsody,Queen,1975,0,Rock,English,bohemian rhapsody - queen,1
We'll Meet Again,Vera Lynn,1939,0,"Love,Jazz,Oldies",English,we'll meet again - vera lynn,1
Imagine,John Lennon,1971,0,"Pop,Soft rock",English,imagine - john lennon,1
Perfect,Ed Sheeran,2017,0,"Pop,Love",English,perfect - ed sheeran,1
Can't Help Falling In Love,Elvis Presley,1961,0,"Pop,Soul,Oldies,Love",English,can't help falling in love - elvis presley,1
Don't Stop Believing,Journey,1981,0,"Rock,Pop",English,don't stop believing - journey,1
Fly Me to the Moon,Frank Sinatra,1964,0,"Jazz,Love",English,fly me to the moon - frank sinatra,1
Your Song,Elton John,1970,0,"Pop,Love",English,your song - elton john,1
Don't Start Now,Dua Lipa,2019,0,"Pop,Disco,Funk,Electro",English,don't start now - dua lipa,1
Crazy,Patsy Cline,1961,0,"Jazz,Love",English,crazy - patsy cline,1
My Way,Frank Sinatra,1969,0,"Pop,Jazz",English,my way - frank sinatra,1
Folsom Prison Blues,Johnny Cash,1957,0,Country,English,folsom prison blues - johnny cash,1
Make You Feel My Love,Adele,2008,0,"Soul,Pop",English,make you feel my love - adele,1
What a Wonderful World,Louis Armstrong,1968,0,"Pop,Jazz",English,what a wonderful world - louis armstrong,1
All of Me,John Legend,2013,0,"Soul,Pop",English,all of me - john legend,1
Ring of Fire,Johnny Cash,1963,0,"Country,Rock 'n Roll",English,ring of fire - johnny cash,1
Lean on Me,Bill Withers,1972,0,"Pop,Rock",English,lean on me - bill withers,1
Jolene,Dolly Parton,1974,0,Country,English,jolene - dolly parton,1
My Girl,The Temptations,1965,0,"Soul,Pop,Oldies",English,my girl - the temptations,1
Always on My Mind,Willie Nelson,1982,0,Country,English,always on my mind - willie nelson,1
Ain't No Sunshine,Bill Withers,1971,0,"Soul,Blues",English,ain't no sunshine - bill withers,1
Have You Ever Seen the Rain,Creedence Clearwater Revival,1970,0,Folk,English,have you ever seen the rain - creedence clearwater revival,1
Black Velvet,Alannah Myles,1989,0,Rock,English,black velvet - alannah myles,1
Yesterday,The Beatles,1965,0,"Pop,Love",English,yesterday - the beatles,1
Unchained Melody,The Righteous Brothers,1965,0,"Love,Soul,Oldies",English,unchained melody - the righteous brothers,1
Friends in Low Places,Garth Brooks,1990,0,Country,English,friends in low places - garth brooks,1
Girl Crush,Little Big Town,2014,0,"Country,Love",English,girl crush - little big town,1
Dreams,Fleetwood Mac,1977,0,Soft rock,English,dreams - fleetwood mac,1
You Say,Lauren Daigle,2018,0,"Love,Christian",English,you say - lauren daigle,1
The Gambler,Kenny Rogers,1978,0,Country,English,the gambler - kenny rogers,1
Dancing Queen,ABBA,1976,0,"Disco,Pop",English,dancing queen - abba,1
Rolling in the Deep,Adele,2010,0,"Pop,Soul",English,rolling in the deep - adele,1
Zombie,The Cranberries,1994,0,"Rock,Alternative",English,zombie - the cranberries,1
House Of The Rising Sun,The Animals,1964,0,"Rock,Blues",English,house of the rising sun - the animals,1
Brown Eyed Girl,Van Morrison,1967,0,Rock,English,brown eyed girl - van morrison,1
Africa,Toto,1980,0,"Pop,Rock",English,africa - toto,1
Jackson,Johnny Cash,1968,0,"Country,Duet",English,jackson - johnny cash,1
Amarillo By Morning,George Strait,1983,0,Country,English,amarillo by morning - george strait,1
Someone Like You,Adele,2011,0,"Pop,Soul,Love",English,someone like you - adele,1
(Sittin' On) The Dock Of The Bay,Otis Redding,1968,0,Soul,English,(sittin' on) the dock of the bay - otis redding,1
You Raise Me Up,Josh Groban,2003,0,"Pop,Christian",English,you raise me up - josh groban,1
Livin' On A Prayer,Bon Jovi,1986,0,"Rock,Hard/Metal",English,livin' on a prayer - bon jovi,1
He Stopped Loving Her Today,George Jones,1980,0,Country,English,he stopped loving her today - george jones,1
Summer Of '69,Bryan Adams,1984,0,"Rock,Pop",English,summer of '69 - bryan adams,1
