Title,Artist,Year,Explicit,Styles,Languages,title_artist,synced
Wake Up And Pay Attention (If You Wanna Be Somebody),Sister Act,1993,0,"Soul,Duet,R&B",English,wake up and pay attention (if you wanna be somebody) - sister act,0
How About You,Michael Bublé,2007,0,Jazz,English,how about you - michael bublé,0
Une île (Perdida),Tony Carreira,2014,0,"French pop,Duet,Latin","French,Portuguese",une île (perdida) - tony carreira,0
Sweet Soul Music,Arthur Conley,1967,0,"Rock 'n Roll,Soul",English,sweet soul music - arthur conley,0
Take My Breath Away,Emma Bunton,2001,0,Pop,English,take my breath away - emma bunton,0
Speedy Gonzales,Pat Boone,1962,0,Rock 'n Roll,English,speedy gonzales - pat boone,0
Interstellaires,Mylène Farmer,2015,0,French pop,French,interstellaires - mylène farmer,0
L.A. is My Lady,Frank Sinatra,1984,0,"Love,Jazz,Pop",English,l.a. is my lady - frank sinatra,0
The Flood,Katie Melua,2010,0,"Pop,Soft rock",English,the flood - katie melua,0
Ven bailalo (reggaeton mix),Angel Y Khriz,2004,0,Latin,Spanish,ven bailalo (reggaeton mix) - angel y khriz,0
Timber,Pitbull,2013,0,"Dance,Pop,Rap,Duet",English,timber - pitbull,0
I'll Be Home this Christmas,Shakin' Stevens,1991,0,"Christmas,Rock 'n Roll",English,i'll be home this christmas - shakin' stevens,0
I Left My Heart In San Francisco,Dean Martin,1962,0,"Jazz,Oldies",English,i left my heart in san francisco - dean martin,0
Hulapalu (Harris & Ford Radio Edit),Andreas Gabalier,2016,0,"Schlager,Dance",German,hulapalu (harris & ford radio edit) - andreas gabalier,0
Buck Rogers,Feeder,2001,0,"Rock,Alternative",English,buck rogers - feeder,0
All I Want For Christmas,Cee Lo Green,2012,0,"Christmas,Soul,Funk,Pop",English,all i want for christmas - cee lo green,0
Lieber Gott,Peter Maffay,1982,0,"Pop,Soft rock,Schlager",German,lieber gott - peter maffay,0
Monster Mash,Bobby Boris Pickett,1962,0,"Musical,Rock 'n Roll,Oldies",English,monster mash - bobby boris pickett,0
Between the Devil and Me,Alan Jackson,1997,0,Country,English,between the devil and me - alan jackson,0
I Turn To You,Christina Aguilera,1999,0,Pop,English,i turn to you - christina aguilera,0
L-O-V-E,Gregory Porter,2017,0,Jazz,English,l-o-v-e - gregory porter,0
Drinkin' My Baby Goodbye,The Charlie Daniels Band,1985,0,Country,English,drinkin' my baby goodbye - the charlie daniels band,0
La langue de chez nous,Yves Duteil,1985,0,French pop,French,la langue de chez nous - yves duteil,0
Parallel Line,Keith Urban,2018,0,"Country,Love",English,parallel line - keith urban,0
Mexico,Carrie Underwood,2015,0,"Pop,Rock,Country",English,mexico - carrie underwood,0
Noche De Paz,Christmas Carol,1818,0,"Christmas,Traditionnal",Spanish,noche de paz - christmas carol,0
Voulez-vous danser grand-mère,Chantal Goya,1977,0,French pop,French,voulez-vous danser grand-mère - chantal goya,0
J'attends,Amel Bent,2004,0,"French pop,R&B",French,j'attends - amel bent,0
The Wedding,Julie Rogers,1965,0,Pop,English,the wedding - julie rogers,0
Bella Ciao (Oktoberfest 2018 Wiesn Version),Axel Fischer,2018,0,"Dance,Electro,Schlager",German,bella ciao (oktoberfest 2018 wiesn version) - axel fischer,0
El Juego De Las Ritmas,Children's Chorus,1965,0,Kids,Spanish,el juego de las ritmas - children's chorus,0
Bochum,Herbert Grönemeyer,1984,0,"Schlager,Rock,80s",German,bochum - herbert grönemeyer,0
Jessica,Wolfgang Petry,1991,0,"Schlager,80s",German,jessica - wolfgang petry,0
Never Be Like You,Flume,2016,0,"Electro,Pop",English,never be like you - flume,0
Swingin' With My Eyes Closed,Shania Twain,2017,0,"Country,Pop,Reggae",English,swingin' with my eyes closed - shania twain,0
We'll Meet Again,Johnny Cash,2002,0,Folk,English,we'll meet again - johnny cash,0
Wake Me Up Before You Go-Go,The Overtones,2014,0,Pop,English,wake me up before you go-go - the overtones,0
Aguas De Março,Elis Regina,1974,0,"Latin,Duet,Jazz",Portuguese,aguas de março - elis regina,0
Demain de bon matin,Boulevard Des Airs,2015,0,French pop,French,demain de bon matin - boulevard des airs,0
Be Alright (Acoustic),Justin Bieber,2013,0,Pop,English,be alright (acoustic) - justin bieber,0
Take These Chains from My Heart,Lee Roy Parnell,1993,0,"Country,Rock,Blues",English,take these chains from my heart - lee roy parnell,0
Blue,Beyoncé,2013,0,"Pop,R&B",English,blue - beyoncé,0
Impossible Year,Panic! At the Disco,2016,0,Pop,English,impossible year - panic! at the disco,0
Juste pour me souvenir,Nolwenn Leroy,2012,0,"French pop,Celtic",French,juste pour me souvenir - nolwenn leroy,0
Shook Me All Night Long / I Hear You Knocking / Rocking All Over The World,Nathan Carter,2017,0,Rock,English,shook me all night long / i hear you knocking / rocking all over the world - nathan carter,0
J'croque la vie,Sofia Essaïdi,2010,0,French pop,French,j'croque la vie - sofia essaïdi,0
Long Way To Go,Alan Jackson,2011,0,Country,English,long way to go - alan jackson,0
Mamma Mia,Julia Lindholm,2016,0,"Schlager,Dance",German,mamma mia - julia lindholm,0
You Are the Reason (Duet with Leona Lewis),Calum Scott,2018,0,"Love,Duet",English,you are the reason (duet with leona lewis) - calum scott,0
Zigeunerjunge,Alexandra,1967,0,Schlager,German,zigeunerjunge - alexandra,0
No molestar,Marco Antonio Solís,2008,0,"Pop,Latin",Spanish,no molestar - marco antonio solís,0
I Like That,Richard Vission & Static Revenger,2009,0,"Dance,Electro,R&B",English,i like that - richard vission & static revenger,0
Never On Sunday,Melina Mercouri,1959,0,"World/Folk,Pop",English,never on sunday - melina mercouri,0
Yaka Dansé (L'Aborigène),Raft,1987,0,"French pop,Zouk/Creole",French,yaka dansé (l'aborigène) - raft,0
Nature Boy,Natalie Cole,1991,0,Jazz,English,nature boy - natalie cole,0
5-4-3-2-1,Manfred Mann,1964,0,"Rock 'n Roll,Rock",English,5-4-3-2-1 - manfred mann,0
Misery,Pink,2001,0,"Pop,Duet,Rock",English,misery - pink,0
Lifestyles Of The Rich And Famous,Good Charlotte,2002,0,"Rock,Alternative",English,lifestyles of the rich and famous - good charlotte,0
Hey Boy,Take That,2015,0,Pop,English,hey boy - take that,0
Beer Can't Fix,Thomas Rhett,2019,0,"Country,Duet",English,beer can't fix - thomas rhett,0
Ain't Going Down ('Til The Sun Comes Up),Garth Brooks,1993,0,"Country,Rock 'n Roll",English,ain't going down ('til the sun comes up) - garth brooks,0
Born to Lose,Dean Martin,1965,0,Pop,English,born to lose - dean martin,0
Animals,Maroon 5,2014,0,"Pop,Rock,Electro",English,animals - maroon 5,0
Mr. Writer,Stereophonics,2001,0,"Rock,Alternative",English,mr. writer - stereophonics,0
Call on Me,Starley,2016,0,Pop,English,call on me - starley,0
Si demain... (Turn Around),Bonnie Tyler,2003,0,"Duet,Soft rock","English,French",si demain... (turn around) - bonnie tyler,0
Cold Shoulder,Adele,2008,0,"Soul,Pop",English,cold shoulder - adele,0
Working Where The Sun Don't Shine,Bowser and Blue,2003,0,"Humour,Country",English,working where the sun don't shine - bowser and blue,0
The 'F' Word,"Hank Williams, Jr.",2002,0,Country,English,"the 'f' word - hank williams, jr.",0
Elle ne sait faire que ah,Pierre Bachelet,1985,0,"French pop,80s",French,elle ne sait faire que ah - pierre bachelet,0
Light On,Rebecca Ferguson,2013,0,Pop,English,light on - rebecca ferguson,0
Not That Kind,Anastacia,2000,0,"Pop,Funk",English,not that kind - anastacia,0
Au nom d'une femme,Hélène Ségara,1999,0,French pop,French,au nom d'une femme - hélène ségara,0
Sheep,Pink Floyd,1977,0,"Alternative,Rock",English,sheep - pink floyd,0
Talk Show Host,Flickerstick,2001,0,"Rock,Alternative",English,talk show host - flickerstick,0
Tomber dans ses yeux,"1789, Les Amants de la Bastille",2012,0,"Musical,French pop",French,"tomber dans ses yeux - 1789, les amants de la bastille",0
The Conversation,"Hank Williams, Jr.",1983,0,"Country,Duet",English,"the conversation - hank williams, jr.",0
From the Bottom of My Heart,Stevie Wonder,2005,0,"Pop,R&B,Soul",English,from the bottom of my heart - stevie wonder,0
Je vecht nooit alleen,3JS,2011,0,"Pop,Rock",Dutch,je vecht nooit alleen - 3js,0
"Tous les bateaux, tous les oiseaux",Michel Polnareff,1969,0,French pop,French,"tous les bateaux, tous les oiseaux - michel polnareff",0
Oh ma jolie Sarah (Live Rester Vivant Tour),Johnny Hallyday,2016,0,"French pop,Rock",French,oh ma jolie sarah (live rester vivant tour) - johnny hallyday,0
Syé bwa,Kassav,1987,0,Zouk/Creole,Creole,syé bwa - kassav,0
Hangover,Taio Cruz,2011,0,"Dance,Pop",English,hangover - taio cruz,0
Love Calls,Kem,2002,0,"Soul,R&B",English,love calls - kem,0
Moi... Lolita,Julien Doré,2007,0,"Rock,French pop,Alternative",French,moi... lolita - julien doré,0
Finnegan's Wake,Dropkick Murphys,1998,0,"Punk/Grunge,Alternative,Celtic",English,finnegan's wake - dropkick murphys,0
What's Forever For,Michael Martin Murphey,1982,0,Soft rock,English,what's forever for - michael martin murphey,0
When I Fall in Love,The Carpenters,1989,0,Love,English,when i fall in love - the carpenters,0
Dreams,Kenny Chesney,2002,0,Country,English,dreams - kenny chesney,0
Jetzt ist der Teufel los,Tobee,2015,0,"Schlager,Dance,Electro",German,jetzt ist der teufel los - tobee,0
Husbands and Wives,Brooks & Dunn,1998,0,Country,English,husbands and wives - brooks & dunn,0
Sinner's Prayer,Beth Hart,2011,0,"Blues,Rock",English,sinner's prayer - beth hart,0
Einmal um die Welt,Cro,2012,0,"Pop,Rap",German,einmal um die welt - cro,0
Really Don't Care,Demi Lovato,2013,0,Pop,English,really don't care - demi lovato,0
Magic Stick (clean),Lil' Kim,2003,0,Rap,English,magic stick (clean) - lil' kim,0
Miracles (Someone Special),Coldplay,2017,0,"Pop,Rap",English,miracles (someone special) - coldplay,0
