title,artist,year,explicit,styles,languages,title_artist,synced,d_id,d_song,d_isrc,d_release,d_explicit,d_bpm,d_artist,d_album_id,d_album,d_art
Tennessee Whiskey,Chris Stapleton,2015,0,"Blues,Rock,Country",English,tennessee whiskey - chris stapleton,1,98975170,Tennessee Whiskey,USUM71418088,2015-05-04,False,152.0,Chris Stapleton,10127538,Traveller,https://cdns-images.dzcdn.net/images/cover/1dd028fd513eefb5993cf8fb5c46d576/250x250-000000-80-0-0.jpg
Dance Monkey,Tones and I,2019,0,Pop,English,dance monkey - tones and i,1,739870792,Dance Monkey,QZES71982312,2019-08-29,False,97.97,Tones and I,108770322,The Kids Are Coming,https://cdns-images.dzcdn.net/images/cover/5636a569737f8dad9a928f3d907c493a/250x250-000000-80-0-0.jpg
Sweet Caroline,Neil Diamond,1969,0,Pop,English,sweet caroline - neil diamond,1,145434430,Sweet Caroline,USMC16991138,2017-03-31,False,126.82,Neil Diamond,15802430,50th Anniversary Collection,https://cdns-images.dzcdn.net/images/cover/40becf4d411046c50caa85ec376fbb2b/250x250-000000-80-0-0.jpg
Someone You Loved,Lewis Capaldi,2018,0,Pop,English,someone you loved - lewis capaldi,1,582143242,Someone You Loved,DEUM71807062,2018-11-08,False,109.96,Lewis Capaldi,78031872,Breach,https://cdns-images.dzcdn.net/images/cover/9a49265adb09ef5c1ae4920f8420e5ae/250x250-000000-80-0-0.jpg
Amazing Grace,Traditional,1831,0,"Traditionnal,Gospel,Blues",English,amazing grace - traditional,1,958704262,Amazing Grace,GBPW45191463,2017-01-13,False,160.25,Traditional,147840742,8 Angels Blessing of Song,https://e-cdns-images.dzcdn.net/images/cover/a29f5484dddb59ff4b64aad32377bf91/250x250-000000-80-0-0.jpg
House of the Rising Sun,Traditional,1700,0,"Traditionnal,Blues,Rock",English,house of the rising sun - traditional,1,400746702,House of the Rising Sun,USHM81721120,2017-08-04,False,113.0,Traditional,47179352,Anything That I Could Say,https://cdns-images.dzcdn.net/images/cover/3781d34a5092c8c272eabbafb3025434/250x250-000000-80-0-0.jpg
Creep,Radiohead,1992,1,"Rock,Alternative",English,creep - radiohead,1,138547415,Creep,GBAYE9200070,1993-02-22,True,91.0,Radiohead,14880711,Pablo Honey,https://e-cdns-images.dzcdn.net/images/cover/f08424290260e58c6d76275253b316fd/250x250-000000-80-0-0.jpg
"Take Me Home, Country Roads",John Denver,1971,0,Country,English,"take me home, country roads - john denver",1,82697686,"Take Me Home, Country Roads",USRC11100481,1971-04-06,False,164.1,John Denver,8305100,"Poems, Prayers and Promises",https://e-cdns-images.dzcdn.net/images/cover/31383f3d2c444ca382c19c1def301e95/250x250-000000-80-0-0.jpg
Bohemian Rhapsody,Queen,1975,0,Rock,English,bohemian rhapsody - queen,1,568115892,Bohemian Rhapsody,GBUM71029604,2018-10-19,False,141.1,Queen,75620202,Bohemian Rhapsody (The Original Soundtrack),https://cdns-images.dzcdn.net/images/cover/8b8fc5d117f9357b79f0a0a410a170e8/250x250-000000-80-0-0.jpg
We'll Meet Again,Vera Lynn,1939,0,"Love,Jazz,Oldies",English,we'll meet again - vera lynn,1,907301742,We'll Meet Again,GBF075320110,2020-03-20,False,0.0,Vera Lynn,137053722,We'll Meet Again,https://e-cdns-images.dzcdn.net/images/cover/446ad176119eb788559b4b6f91a4c14e/250x250-000000-80-0-0.jpg
Imagine,John Lennon,1971,0,"Pop,Soft rock",English,imagine - john lennon,1,7193834,Imagine,GBAYE1000769,2010-10-01,False,151.4,John Lennon,664237,Imagine,https://cdns-images.dzcdn.net/images/cover/2675a9277dfabb74c32b7a3b2c9b0170/250x250-000000-80-0-0.jpg
Perfect,Ed Sheeran,2017,0,"Pop,Love",English,perfect - ed sheeran,1,142986206,Perfect,GBAHS1700024,2017-03-03,False,95.04,Ed Sheeran,15478674,÷ (Deluxe),https://cdns-images.dzcdn.net/images/cover/000a9228cecfcc7c2093d9cd7bb66447/250x250-000000-80-0-0.jpg
